module,type,name,res_id,src,value,comments
account,model,"mail.template,body_html",account.email_template_edi_invoice,"
<p>Dear ${object.partner_id.name}
% set access_action = object.get_access_action()
% set access_url = access_action['type'] == 'ir.actions.act_url' and access_action['url'] or '/report/pdf/account.report_invoice/' + str(object.id)
% set is_online = access_action and access_action['type'] == 'ir.actions.act_url'

% if object.partner_id.parent_id:
    (<i>${object.partner_id.parent_id.name}</i>)
% endif
,</p>
<p>Here is your invoice <strong>${object.number}</strong>
% if object.origin:
(with reference: ${object.origin} )
% endif
amounting in <strong>${object.amount_total} ${object.currency_id.name}</strong>
from ${object.company_id.name}.
</p>

% if is_online:
    <br/><br/>
    <center>
      <a href=""${access_url}"" style=""background-color: #1abc9c; padding: 20px; text-decoration: none; color: #fff; border-radius: 5px; font-size: 16px;"" class=""o_default_snippet_text"">View Invoice</a>
    </center>
% endif
    <br/><br/>

% if object.state=='paid':
    <p>This invoice is already paid.</p>
% else:
    <p>Please remit payment at your earliest convenience.</p>
% endif

<p>Thank you,</p>
% if object.user_id and object.user_id.signature:
    ${object.user_id.signature | safe}
% endif
",,
account,model,"ir.model.fields,help",account.field_account_invoice_state," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Pro-forma' status is used when the invoice does not have an invoice number.
 * The 'Open' status is used when user creates invoice, an invoice number is generated. It stays in the open status till the user pays the invoice.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice.",,
account,code,addons/account/static/src/js/account_reconciliation_widgets.js,1529, seconds,,openerp-web
account,model,"ir.model.fields,field_description",account.field_account_chart_template_code_digits,# of Digits,,
account,model,"ir.model.fields,field_description",account.field_wizard_multi_charts_accounts_code_digits,# of Digits,,
account,model,"ir.model.fields,field_description",account.field_account_config_settings_code_digits,# of Digits *,,
account,model,"ir.model.fields,field_description",account.field_account_invoice_report_nbr,# of Lines,,
account,model,"ir.model.fields,field_description",account.field_account_move_line_reconcile_trans_nbr,# of Transaction,,
account,model,"mail.template,subject",account.email_template_edi_invoice,${object.company_id.name} Invoice (Ref ${object.number or 'n/a'}),,
account,model,"mail.template,subject",account.mail_template_data_notification_email_account_invoice,${object.subject},,
account,code,addons/account/models/account_bank_statement.py,469,%d transactions were automatically reconciled.,,
account,code,addons/account/models/account.py,628,%s (Copy),,
account,code,addons/account/models/account.py,170,%s (copy),,
account,code,addons/account/models/account.py,342,%s (copy),,
account,code,addons/account/models/account.py,343,%s (copy),,
account,model,"ir.ui.view,arch_db",account.external_layout_footer,&amp;bull;,,
account,model,"ir.ui.view,arch_db",account.account_planner,", if accounting or purchase is installed",,
account,model,"ir.ui.view,arch_db",account.view_account_form,-> Reconcile,,
account,model,"ir.ui.view,arch_db",account.view_move_line_form,-> View partially reconciled entries,,
account,code,addons/account/models/account_bank_statement.py,470,1 transaction was automatically reconciled.,,
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,,
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,,
account,model,"account.payment.term,name",account.account_payment_term_advance,30% Advance End of Following Month,,
account,model,"ir.ui.view,arch_db",account.account_planner,"5) For setup, you will need the following information:",,
account,model,"ir.ui.view,arch_db",account.report_generalledger,: General ledger,,
account,code,addons/account/models/account.py,397,: Refund,,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,: Trial Balance,,
