module,type,name,res_id,src,value,comments
account,model,"mail.template,body_html",account.email_template_edi_invoice,"
<p>Dear ${object.partner_id.name}
% set access_action = object.get_access_action()
% set access_url = access_action['type'] == 'ir.actions.act_url' and access_action['url'] or '/report/pdf/account.report_invoice/' + str(object.id)
% set is_online = access_action and access_action['type'] == 'ir.actions.act_url'

% if object.partner_id.parent_id:
    (<i>${object.partner_id.parent_id.name}</i>)
% endif
,</p>
<p>Here is your invoice <strong>${object.number}</strong>
% if object.origin:
(with reference: ${object.origin} )
% endif
amounting in <strong>${object.amount_total} ${object.currency_id.name}</strong>
from ${object.company_id.name}.
</p>

% if is_online:
    <br/><br/>
    <center>
      <a href=""${access_url}"" style=""background-color: #1abc9c; padding: 20px; text-decoration: none; color: #fff; border-radius: 5px; font-size: 16px;"" class=""o_default_snippet_text"">View Invoice</a>
    </center>
% endif
    <br/><br/>

% if object.state=='paid':
    <p>This invoice is already paid.</p>
% else:
    <p>Please remit payment at your earliest convenience.</p>
% endif

<p>Thank you,</p>
% if object.user_id and object.user_id.signature:
    ${object.user_id.signature | safe}
% endif
","
<p>Kjære ${object.partner_id.name}
% set access_action = object.get_access_action()
% set access_url = access_action['type'] == 'ir.actions.act_url' and access_action['url'] or '/report/pdf/account.report_invoice/' + str(object.id)
% set is_online = access_action and access_action['type'] == 'ir.actions.act_url'

% if object.partner_id.parent_id:
    (<i>${object.partner_id.parent_id.name}</i>)
% endif
,</p>
<p>Her er din faktura <strong>${object.number}</strong>
% if object.origin:
(med referanse: ${object.origin} )
% endif
Beløp: <strong>${object.amount_total} ${object.currency_id.name}</strong>
fra ${object.company_id.name}.
</p>

% if is_online:
    <br/><br/>
    <center>
      <a href=""${access_url}"" style=""background-color: #1abc9c; padding: 20px; text-decoration: none; color: #fff; border-radius: 5px; font-size: 16px;"" class=""o_default_snippet_text"">Vis faktura </a>
    </center>
% endif
    <br/><br/>

% if object.state=='paid':
    <p>Denne fakturaen er allerede betalt.</p>
% else:
    <p>Fakturaen er foreløpig ikke betalt.</p>
% endif

<p>Med vennlig hilsen,</p>
% if object.user_id and object.user_id.signature:
    ${object.user_id.signature | safe}
% endif
",
account,model,"ir.model.fields,help",account.field_account_invoice_state," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Pro-forma' status is used when the invoice does not have an invoice number.
 * The 'Open' status is used when user creates invoice, an invoice number is generated. It stays in the open status till the user pays the invoice.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice."," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Pro-forma' status is used when the invoice does not have an invoice number.
 * The 'Open' status is used when user creates invoice, an invoice number is generated. It stays in the open status till the user pays the invoice.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice.",
account,code,addons/account/static/src/js/account_reconciliation_widgets.js,1529, seconds,sekunder,openerp-web
account,model,"ir.model.fields,field_description",account.field_account_chart_template_code_digits,# of Digits,antall siffer,
account,model,"ir.model.fields,field_description",account.field_wizard_multi_charts_accounts_code_digits,# of Digits,antall siffer,
account,model,"ir.model.fields,field_description",account.field_account_config_settings_code_digits,# of Digits *,# of Digits *,
account,model,"ir.model.fields,field_description",account.field_account_invoice_report_nbr,# of Lines,# Linjer,
account,model,"ir.model.fields,field_description",account.field_account_move_line_reconcile_trans_nbr,# of Transaction,Ant. transaksjon,
account,model,"mail.template,subject",account.email_template_edi_invoice,${object.company_id.name} Invoice (Ref ${object.number or 'n/a'}),${object.company_id.name} Invoice (Ref ${object.number or 'n/a'}),
account,model,"mail.template,subject",account.mail_template_data_notification_email_account_invoice,${object.subject},${object.subject},
